id,name,border
Edge of Autumn,243442,m
Mighty Leap,243443,m
Reprisal,243444,m
Test of Faith,243445,m
Heroes' Reunion,243446,m
Sigil Blessing,243447,m
Breath of Darigaaz,243482,m
Dragon Fodder,243468,m
Punishing Fire,243483,m
Spitting Earth,243484,m
Ghostfire,243486,m
Seething Song,243487,m
Seismic Strike,243488,m
Temporary Insanity,243490,m
Cone of Flame,243492,m
Fiery Fall,243493,m
Jaws of Stone,243494,m
Sunlance,222776,m
Swords to Plowshares,218581,m
Mighty Leap,226713,m
Raise the Alarm,222728,m
Razor Barrier,222729,m
Blinding Beam,222721,m
Abolish,222765,m
Saltblast,222775,m
Swell of Courage,222718,m
Echoing Truth,222735,m
Thirst for Knowledge,218580,m
Argivian Restoration,222857,m
Foil,222766,m
Thoughtcast,222732,m
Dark Ritual,209137,m
Slay,209134,m
Hideous End,210141,m
Tendrils of Corruption,210139,m
Living Death,210138,m
Urza's Rage,207886,m
Evasive Action,210153,m
Tribal Flames,209145,m
Gerrard's Command,210559,m
Narrow Escape,210152,m
Harrow,209114,m
Darigaaz's Charm,209149,m
Rith's Charm,209152,m
Treva's Charm,209156,m
Allied Strategies,209148,m
Giant Growth,201839,m
Nature's Lore,201840,m
Invigorate,202261,m
Harmonize,201817,m
Rude Awakening,202281,m
Beast Attack,201824,m
Overrun,201779,m
Windstorm,201780,m
Sign in Blood,201801,m
Vicious Hunger,202262,m
Ichor Slick,202145,m
Hideous End,202147,m
Snuff Out,201794,m
